code,tek_term_name
1,Traditional Ecological Knowledge
2,Traditional Indigenous Knowledge
3,Traditional Local Knowledge
4,Traditional Knowledge
5,Indigenous Knowledge
6,Indigenous Local Knowledge
7,Indigenous Ecological Knowledge
8,Indigenous Traditional Knowledge
9,Indigenous Ways of Knowing
10,Community Knowledge
11,Local Knowledge
18,Local Knowledge (INDIGENOUS)
12,Local Ecological Knowledge
13,Local Community Knowledge
14,Cultural Knowledge
15,Cultural Ecological Knowledge
16,Ecological Knowledge
17,Native Science